dreams_id,Co-enrolled in OVC
40/1215/835,FALSE
40/1214/523,FALSE
40/1211/1127,FALSE
40/1208/1663,FALSE
40/1214/710,FALSE
40/1214/367,FALSE
40/1215/754,FALSE
40/1215/987,FALSE
40/1214/711,FALSE
40/1215/762,FALSE
40/1214/593,FALSE
40/1214/882,FALSE
40/1211/1309,FALSE
40/1215/995,FALSE
40/1208/1671,FALSE
40/1208/1699,FALSE
40/1211/1203,FALSE
40/1210/747,FALSE
40/1210/750,FALSE
40/1215/869,FALSE
40/1215/770,FALSE
40/1211/1173,FALSE
40/1210/752,FALSE
40/1210/756,FALSE
40/1210/757,FALSE
40/1211/1179,FALSE
40/1215/1008,FALSE
40/1211/1216,FALSE
40/1211/1389,FALSE
40/1214/809,FALSE
40/1214/960,FALSE
40/1214/812,FALSE
40/1211/420,FALSE
40/1211/421,FALSE
40/1210/790,FALSE
40/1210/791,FALSE
40/1211/424,FALSE
40/1210/801,FALSE
40/1211/431,FALSE
40/1214/1005,FALSE
40/1214/726,FALSE
40/1214/572,FALSE
40/1214/448,FALSE
40/1214/456,FALSE
40/1211/1055,FALSE
40/1211/1070,FALSE
40/1208/1708,FALSE
40/1210/885,FALSE
40/1214/655,FALSE
40/1210/857,FALSE
40/1215/877,FALSE
40/1215/878,FALSE
40/1211/1253,FALSE
40/1215/1048,FALSE
40/1215/1051,FALSE
40/1214/750,FALSE
40/1211/1408,FALSE
40/1210/900,FALSE
40/1211/1361,FALSE
40/1214/965,FALSE
40/1211/1334,FALSE
40/1214/398,FALSE
40/1211/1340,FALSE
40/1211/1239,FALSE
40/1214/939,FALSE
40/1211/1279,FALSE
40/1210/884,FALSE
40/1215/1063,FALSE
40/1214/848,FALSE
40/1214/872,FALSE
40/1211/1225,FALSE
40/1211/1288,FALSE
40/1214/978,FALSE
40/1214/979,FALSE
40/1214/880,FALSE
40/1190/1652,FALSE
40/1214/783,FALSE
40/1214/1028,FALSE
40/1214/987,FALSE
40/1214/944,FALSE
40/1214/949,FALSE
40/1214/992,FALSE
40/1214/1034,FALSE
40/1211/1364,FALSE
40/1214/791,FALSE
40/1214/793,FALSE
40/1211/1369,FALSE
40/1214/881,FALSE
40/1190/1637,FALSE
40/1190/1638,FALSE
40/1214/897,FALSE
40/1211/1384,FALSE
40/1214/1019,FALSE
40/1211/1393,FALSE
40/1214/902,FALSE
40/1215/1072,FALSE
40/1214/1003,FALSE
40/1211/1452,FALSE
40/1215/1083,FALSE
40/1215/1087,FALSE
40/1214/1027,FALSE
40/1214/1011,FALSE
40/1214/1084,FALSE
40/1211/1473,FALSE
40/1214/1043,FALSE
40/1210/896,FALSE
40/1214/981,FALSE
40/1215/1094,FALSE
40/1214/948,FALSE
40/1190/1657,FALSE
40/1214/956,FALSE
40/1214/1073,FALSE
40/1214/1051,FALSE
40/1214/903,FALSE
40/1214/906,FALSE
40/1215/1082,FALSE
40/1186/1643,FALSE
40/1214/1088,FALSE
40/1188/1186,FALSE
40/1186/1648,FALSE
40/1208/1717,FALSE
40/1186/1653,FALSE
40/1210/933,FALSE
40/1210/928,FALSE
40/1211/1501,FALSE
40/1215/1114,FALSE
40/1211/1504,FALSE
40/1210/932,FALSE
40/1214/676,FALSE
40/1211/422,FALSE
40/1215/1014,FALSE
40/1214/111,FALSE
40/1211/428,FALSE
40/1215/876,FALSE
40/1210/782,FALSE
40/1214/114,FALSE
40/1211/434,FALSE
40/1214/453,FALSE
40/1214/460,FALSE
40/1211/1243,FALSE
40/1214/461,FALSE
40/1214/640,FALSE
40/1214/580,FALSE
40/1214/647,FALSE
40/1211/1312,FALSE
40/1214/746,FALSE
40/1211/1246,FALSE
40/1211/1404,FALSE
40/1214/657,FALSE
40/1211/1315,FALSE
40/1211/1256,FALSE
40/1214/667,FALSE
40/1215/879,FALSE
40/1211/1405,FALSE
40/1215/1064,FALSE
40/1190/1626,FALSE
40/1214/671,FALSE
40/1214/753,FALSE
40/1215/882,FALSE
40/1187/1709,FALSE
40/1214/760,FALSE
40/1211/1266,FALSE
40/1211/1274,FALSE
40/1214/851,FALSE
40/1211/1290,FALSE
40/1211/1293,FALSE
40/1214/862,FALSE
40/1210/912,FALSE
40/1190/1633,FALSE
40/1210/908,FALSE
40/1214/743,FALSE
40/1190/1639,FALSE
40/1214/929,FALSE
40/1214/810,FALSE
40/1211/1400,FALSE
40/1211/1443,FALSE
40/1214/1013,FALSE
40/1214/937,FALSE
40/1210/873,FALSE
40/1214/940,FALSE
40/1214/1045,FALSE
40/1214/891,FALSE
40/1214/952,FALSE
40/1214/894,FALSE
40/1211/1450,FALSE
40/1214/1049,FALSE
40/1215/1074,FALSE
40/1214/909,FALSE
40/1215/1088,FALSE
40/1214/1087,FALSE
40/1211/1456,FALSE
40/1186/1647,FALSE
40/1189/930,FALSE
40/1186/1654,FALSE
40/1211/1483,FALSE
40/1211/1505,FALSE
40/1211/1506,FALSE
40/1210/935,FALSE
40/1188/1198,FALSE
40/1210/940,FALSE
40/1210/941,FALSE
40/1196/769,FALSE
40/1186/1666,FALSE
40/1186/1669,FALSE
40/1210/943,FALSE
40/1211/1509,FALSE
40/1187/1718,FALSE
40/1186/1672,FALSE
40/1214/1097,FALSE
40/1186/1678,FALSE
40/1214/1102,FALSE
40/1215/1120,FALSE
40/1215/1123,FALSE
40/1190/1677,FALSE
40/1210/939,FALSE
40/1208/1719,FALSE
40/1200/648,FALSE
40/1188/1201,FALSE
40/1189/938,FALSE
40/1190/1674,FALSE
40/1200/653,FALSE
40/1210/947,FALSE
40/1201/729,FALSE
40/1186/1682,FALSE
40/1190/1665,FALSE
40/1186/1663,FALSE
40/1187/1716,FALSE
40/1186/1665,FALSE
40/1200/651,FALSE
40/1190/1670,FALSE
40/1189/945,FALSE
40/1208/1721,FALSE
40/1190/1676,FALSE
40/1214/1091,FALSE
40/1210/936,FALSE
40/1210/927,FALSE
40/1189/941,FALSE
40/1211/1512,FALSE
40/1186/1676,FALSE
40/1201/731,FALSE
40/1186/1681,FALSE
40/1210/937,FALSE
40/1215/1121,FALSE
40/1189/940,FALSE
40/1211/1510,FALSE
40/1186/1673,FALSE
40/1186/1670,FALSE
40/1190/1673,FALSE
40/1210/944,FALSE
40/1210/945,FALSE
40/1186/1677,FALSE
40/1208/1723,FALSE
40/1201/730,FALSE
40/1208/1722,FALSE
40/1190/1678,FALSE
40/1186/1667,FALSE
40/1186/1668,FALSE
40/1201/727,FALSE
40/1211/1514,FALSE
40/1186/1675,FALSE
40/1215/1122,FALSE
40/1188/1202,FALSE
40/1186/1664,FALSE
40/1189/946,FALSE
40/1200/652,FALSE
40/1214/1101,FALSE
40/1187/1720,FALSE
40/1215/1126,FALSE
40/1188/1200,FALSE
40/1188/1203,FALSE
40/1189/939,FALSE
40/1186/1671,FALSE
40/1186/1674,FALSE
40/1211/1508,FALSE
40/1186/1680,FALSE
40/1186/1679,FALSE
40/1201/728,FALSE
40/1189/947,FALSE
40/1186/1689,FALSE
40/1186/1691,FALSE
40/1186/1703,FALSE
40/1215/1133,FALSE
40/1186/1720,FALSE
40/1186/1734,FALSE
40/1186/1723,FALSE
40/1186/1725,FALSE
40/1201/738,FALSE
40/1196/773,FALSE
40/1196/774,FALSE
40/1201/740,FALSE
40/1190/1681,FALSE
40/1186/1699,FALSE
40/1186/1714,FALSE
40/1186/1702,FALSE
40/1215/1132,FALSE
40/1186/1704,FALSE
40/1186/1715,FALSE
40/1186/1716,FALSE
40/1186/1693,FALSE
40/1196/778,FALSE
40/1210/948,FALSE
40/1196/770,FALSE
40/1186/1700,FALSE
40/1215/1134,FALSE
40/1215/1136,FALSE
40/1186/1706,FALSE
40/1186/1708,FALSE
40/1186/1721,FALSE
40/1186/1738,FALSE
40/1186/1727,FALSE
40/1189/950,FALSE
40/1196/777,FALSE
40/1196/782,FALSE
40/1211/1516,FALSE
40/1210/949,FALSE
40/1186/1683,FALSE
40/1214/1103,FALSE
40/1214/1104,FALSE
40/1186/1687,FALSE
40/1186/1707,FALSE
40/1186/1719,FALSE
40/1186/1712,FALSE
40/1201/735,FALSE
40/1196/781,FALSE
40/1187/1721,FALSE
40/1190/1680,FALSE
40/1215/1127,FALSE
40/1186/1686,FALSE
40/1186/1701,FALSE
40/1215/1130,FALSE
40/1215/1135,FALSE
40/1201/732,FALSE
40/1201/733,FALSE
40/1201/739,FALSE
40/1196/772,FALSE
40/1187/1722,FALSE
40/1215/1128,FALSE
40/1186/1690,FALSE
40/1215/1129,FALSE
40/1186/1692,FALSE
40/1186/1705,FALSE
40/1186/1710,FALSE
40/1186/1722,FALSE
40/1186/1724,FALSE
40/1211/1517,FALSE
40/1201/742,FALSE
40/1188/1225,FALSE
40/1190/1682,FALSE
40/1186/1697,FALSE
40/1200/654,FALSE
40/1186/1709,FALSE
40/1186/1713,FALSE
40/1186/1731,FALSE
40/1186/1735,FALSE
40/1186/1736,FALSE
40/1186/1737,FALSE
40/1189/949,FALSE
40/1215/1140,FALSE
40/1196/771,FALSE
40/1196/775,FALSE
40/1201/734,FALSE
40/1201/745,FALSE
40/1215/1131,FALSE
40/1215/1139,FALSE
40/1186/1694,FALSE
40/1186/1695,FALSE
40/1186/1696,FALSE
40/1186/1726,FALSE
40/1189/948,FALSE
40/1196/779,FALSE
40/1196/780,FALSE
40/1201/736,FALSE
40/1189/969,FALSE
40/1189/963,FALSE
40/1189/970,FALSE
40/1201/744,FALSE
40/1201/747,FALSE
40/1186/1684,FALSE
40/1186/1698,FALSE
40/1186/1688,FALSE
40/1215/1137,FALSE
40/1215/1138,FALSE
40/1186/1728,FALSE
40/1186/1729,FALSE
40/1186/1730,FALSE
40/1186/1711,FALSE
40/1196/776,FALSE
40/1189/976,FALSE
40/1201/750,FALSE
40/1200/688,FALSE
40/1186/1741,FALSE
40/1208/1724,FALSE
40/1186/1685,FALSE
40/1186/1717,FALSE
40/1186/1718,FALSE
40/1186/1732,FALSE
40/1186/1733,FALSE
40/1201/741,FALSE
40/1201/737,FALSE
40/1189/964,FALSE
40/1196/783,FALSE
40/1200/675,FALSE
40/1200/676,FALSE
40/1200/687,FALSE
40/1196/796,FALSE
40/1189/955,FALSE
40/1201/749,FALSE
40/1188/1226,FALSE
40/1200/685,FALSE
40/1200/690,FALSE
40/1200/692,FALSE
40/1201/769,FALSE
40/1190/1684,FALSE
40/1201/770,FALSE
40/1196/832,FALSE
40/1196/843,FALSE
40/1196/790,FALSE
40/1186/1746,FALSE
40/1190/1689,FALSE
40/1190/1692,FALSE
40/1190/1693,FALSE
40/1190/1720,FALSE
40/1200/663,FALSE
40/1200/703,FALSE
40/1201/760,FALSE
40/1200/726,FALSE
40/1208/1734,FALSE
40/1196/846,FALSE
40/1188/1242,FALSE
40/1196/882,FALSE
40/1196/881,FALSE
40/1196/851,FALSE
40/1190/1712,FALSE
40/1200/705,FALSE
40/1200/720,FALSE
40/1190/1737,FALSE
40/1196/811,FALSE
40/1196/862,FALSE
40/1200/736,FALSE
40/1196/874,FALSE
40/1196/887,FALSE
40/1196/889,FALSE
40/1190/1741,FALSE
40/1190/1728,FALSE
40/1196/892,FALSE
40/1196/916,FALSE
40/1200/757,FALSE
40/1188/1257,FALSE
40/1190/1756,FALSE
40/1200/761,FALSE
40/1210/964,FALSE
40/1196/921,FALSE
40/1196/935,FALSE
40/1190/1762,FALSE
40/1190/1766,FALSE
40/1196/900,FALSE
40/1190/1763,FALSE
40/1196/944,FALSE
40/1188/1261,FALSE
40/1210/988,FALSE
40/1215/1147,FALSE
40/1189/995,FALSE
40/1210/981,FALSE
40/1187/1733,FALSE
40/1187/1734,FALSE
40/1201/792,FALSE
40/1188/1270,FALSE
40/1188/1272,FALSE
40/1188/1291,FALSE
40/1188/1293,FALSE
40/1214/1107,FALSE
40/1208/1751,FALSE
40/1200/788,FALSE
40/1200/755,FALSE
40/1208/1753,FALSE
40/1200/769,FALSE
40/1188/1303,FALSE
40/1190/1789,FALSE
40/1188/1304,FALSE
40/1211/1519,FALSE
40/1188/1327,FALSE
40/1200/816,FALSE
40/1189/1001,FALSE
40/1190/1800,FALSE
40/1190/1782,FALSE
40/1215/1155,FALSE
40/1190/1783,FALSE
40/1187/1752,FALSE
40/1215/1162,FALSE
40/1210/999,FALSE
40/1196/951,FALSE
40/1196/967,FALSE
40/1210/1007,FALSE
40/1215/1173,FALSE
40/1208/1759,FALSE
40/1200/810,FALSE
40/1188/1357,FALSE
40/1188/1363,FALSE
40/1190/1806,FALSE
40/1196/964,FALSE
40/1201/801,FALSE
40/1188/1337,FALSE
40/1215/1203,FALSE
40/1200/828,FALSE
40/1214/1123,FALSE
40/1196/977,FALSE
40/1188/1379,FALSE
40/1190/1820,FALSE
40/1189/961,FALSE
40/1189/965,FALSE
40/1201/755,FALSE
40/1189/978,FALSE
40/1189/952,FALSE
40/1200/683,FALSE
40/1200/684,FALSE
40/1188/1227,FALSE
40/1188/1229,FALSE
40/1186/1742,FALSE
40/1196/825,FALSE
40/1196/837,FALSE
40/1196/844,FALSE
40/1189/975,FALSE
40/1190/1717,FALSE
40/1201/757,FALSE
40/1196/865,FALSE
40/1190/1721,FALSE
40/1190/1730,FALSE
40/1196/877,FALSE
40/1201/778,FALSE
40/1188/1243,FALSE
40/1190/1725,FALSE
40/1200/717,FALSE
40/1189/966,FALSE
40/1200/735,FALSE
40/1200/712,FALSE
40/1200/729,FALSE
40/1200/713,FALSE
40/1196/810,FALSE
40/1196/856,FALSE
40/1188/1237,FALSE
40/1200/721,FALSE
40/1208/1736,FALSE
40/1188/1223,FALSE
40/1200/723,FALSE
40/1196/888,FALSE
40/1196/875,FALSE
40/1200/724,FALSE
40/1200/733,FALSE
40/1190/1748,FALSE
40/1189/992,FALSE
40/1186/1739,FALSE
40/1208/1744,FALSE
40/1188/1267,FALSE
40/1200/748,FALSE
40/1190/1770,FALSE
40/1200/762,FALSE
40/1196/933,FALSE
40/1190/1771,FALSE
40/1201/789,FALSE
40/1189/1007,FALSE
40/1196/902,FALSE
40/1210/978,FALSE
40/1210/979,FALSE
40/1187/1731,FALSE
40/1187/1732,FALSE
40/1200/781,FALSE
40/1188/1262,FALSE
40/1188/1288,FALSE
40/1214/1106,FALSE
40/1201/793,FALSE
40/1188/1297,FALSE
40/1200/791,FALSE
40/1189/999,FALSE
40/1188/1325,FALSE
40/1200/803,FALSE
40/1200/793,FALSE
40/1200/804,FALSE
40/1190/1794,FALSE
40/1188/1315,FALSE
40/1215/1161,FALSE
40/1190/1797,FALSE
40/1189/1003,FALSE
40/1210/1006,FALSE
40/1188/1311,FALSE
40/1190/1798,FALSE
40/1210/1002,FALSE
40/1188/1335,FALSE
40/1196/968,FALSE
40/1215/1164,FALSE
40/1187/1760,FALSE
40/1187/1761,FALSE
40/1215/1170,FALSE
40/1215/1181,FALSE
40/1196/953,FALSE
40/1215/1167,FALSE
40/1210/1013,FALSE
40/1186/1762,FALSE
40/1188/1358,FALSE
40/1188/1345,FALSE
40/1201/800,FALSE
40/1188/1346,FALSE
40/1196/962,FALSE
40/1188/1354,FALSE
40/1215/1193,FALSE
40/1196/963,FALSE
40/1190/1801,FALSE
40/1190/1811,FALSE
40/1196/974,FALSE
40/1201/804,FALSE
40/1196/970,FALSE
40/1201/812,FALSE
40/1208/1779,FALSE
40/1214/1125,FALSE
40/1188/1378,FALSE
40/1214/1126,FALSE
40/1208/1772,FALSE
40/1215/1206,FALSE
40/1210/1016,FALSE
40/1196/980,FALSE
40/1189/962,FALSE
40/1188/1205,FALSE
40/1200/674,FALSE
40/1201/752,FALSE
40/1189/954,FALSE
40/1200/679,FALSE
40/1196/818,FALSE
40/1200/693,FALSE
40/1189/956,FALSE
40/1196/824,FALSE
40/1190/1705,FALSE
40/1196/836,FALSE
40/1196/839,FALSE
40/1201/773,FALSE
40/1201/774,FALSE
40/1188/1216,FALSE
40/1188/1217,FALSE
40/1188/1208,FALSE
40/1186/1748,FALSE
40/1188/1221,FALSE
40/1190/1694,FALSE
40/1200/662,FALSE
40/1188/1240,FALSE
40/1186/1756,FALSE
40/1190/1697,FALSE
40/1190/1723,FALSE
40/1196/879,FALSE
40/1208/1725,FALSE
40/1196/872,FALSE
40/1208/1739,FALSE
40/1190/1736,FALSE
40/1200/668,FALSE
40/1200/669,FALSE
40/1200/737,FALSE
40/1210/960,FALSE
40/1200/722,FALSE
40/1200/738,FALSE
40/1201/776,FALSE
40/1188/1248,FALSE
40/1200/742,FALSE
40/1200/671,FALSE
40/1201/764,FALSE
40/1190/1727,FALSE
40/1189/967,FALSE
40/1196/911,FALSE
40/1196/864,FALSE
40/1208/1733,FALSE
40/1196/926,FALSE
40/1196/899,FALSE
40/1210/957,FALSE
40/1188/1268,FALSE
40/1208/1747,FALSE
40/1189/987,FALSE
40/1190/1761,FALSE
40/1196/917,FALSE
40/1196/938,FALSE
40/1200/765,FALSE
40/1196/943,FALSE
40/1188/1278,FALSE
40/1196/946,FALSE
40/1200/770,FALSE
40/1210/967,FALSE
40/1210/968,FALSE
40/1188/1281,FALSE
40/1188/1298,FALSE
40/1196/908,FALSE
40/1215/1148,FALSE
40/1190/1777,FALSE
40/1190/1778,FALSE
40/1188/1300,FALSE
40/1208/1742,FALSE
40/1214/1105,FALSE
40/1189/997,FALSE
40/1190/1780,FALSE
40/1196/948,FALSE
40/1188/1274,FALSE
40/1200/789,FALSE
40/1190/1759,FALSE
40/1214/1110,FALSE
40/1214/1111,FALSE
40/1190/1790,FALSE
40/1200/814,FALSE
40/1215/1157,FALSE
40/1215/1158,FALSE
40/1189/1002,FALSE
40/1187/1745,FALSE
40/1210/994,FALSE
40/1190/1786,FALSE
40/1196/969,FALSE
40/1188/1336,FALSE
40/1208/1757,FALSE
40/1208/1758,FALSE
40/1200/807,FALSE
40/1200/812,FALSE
40/1196/954,FALSE
40/1187/1758,FALSE
40/1190/1803,FALSE
40/1196/960,FALSE
40/1190/1805,FALSE
40/1188/1320,FALSE
40/1188/1341,FALSE
40/1196/955,FALSE
40/1196/975,FALSE
40/1215/1198,FALSE
40/1196/971,FALSE
40/1201/796,FALSE
40/1196/972,FALSE
40/1188/1369,FALSE
40/1196/965,FALSE
40/1188/1403,FALSE
40/1188/1419,FALSE
40/1188/1395,FALSE
40/1200/823,FALSE
40/1190/1809,FALSE
40/1188/1381,FALSE
40/1214/1130,FALSE
40/1188/1374,FALSE
40/1188/1409,FALSE
40/1189/951,FALSE
40/1188/1212,FALSE
40/1190/1699,FALSE
40/1190/1683,FALSE
40/1200/673,FALSE
40/1200/686,FALSE
40/1201/767,FALSE
40/1196/793,FALSE
40/1188/1206,FALSE
40/1196/799,FALSE
40/1196/830,FALSE
40/1196/789,FALSE
40/1190/1716,FALSE
40/1188/1220,FALSE
40/1201/762,FALSE
40/1200/734,FALSE
40/1186/1759,FALSE
40/1208/1729,FALSE
40/1188/1241,FALSE
40/1196/870,FALSE
40/1196/808,FALSE
40/1196/848,FALSE
40/1186/1751,FALSE
40/1196/850,FALSE
40/1196/853,FALSE
40/1189/981,FALSE
40/1200/718,FALSE
40/1200/719,FALSE
40/1201/779,FALSE
40/1201/784,FALSE
40/1200/730,FALSE
40/1200/731,FALSE
40/1196/861,FALSE
40/1200/740,FALSE
40/1188/1224,FALSE
40/1196/890,FALSE
40/1189/983,FALSE
40/1190/1743,FALSE
40/1196/914,FALSE
40/1186/1740,FALSE
40/1200/711,FALSE
40/1200/759,FALSE
40/1210/961,FALSE
40/1196/932,FALSE
40/1196/939,FALSE
40/1190/1776,FALSE
40/1196/942,FALSE
40/1189/1012,FALSE
40/1200/749,FALSE
40/1210/969,FALSE
40/1188/1280,FALSE
40/1187/1725,FALSE
40/1200/774,FALSE
40/1210/970,FALSE
40/1210/971,FALSE
40/1188/1282,FALSE
40/1200/780,FALSE
40/1196/905,FALSE
40/1215/1149,FALSE
40/1215/1152,FALSE
40/1188/1294,FALSE
40/1196/950,FALSE
40/1189/982,FALSE
40/1210/985,FALSE
40/1188/1312,FALSE
40/1200/815,FALSE
40/1188/1328,FALSE
40/1188/1322,FALSE
40/1200/795,FALSE
40/1187/1751,FALSE
40/1210/991,FALSE
40/1208/1754,FALSE
40/1187/1746,FALSE
40/1210/1010,FALSE
40/1187/1747,FALSE
40/1210/1012,FALSE
40/1187/1756,FALSE
40/1215/1168,FALSE
40/1188/1356,FALSE
40/1215/1176,FALSE
40/1200/817,FALSE
40/1215/1187,FALSE
40/1215/1188,FALSE
40/1188/1366,FALSE
40/1215/1180,FALSE
40/1188/1367,FALSE
40/1215/1202,FALSE
40/1196/966,FALSE
40/1188/1372,FALSE
40/1188/1364,FALSE
40/1188/1376,FALSE
40/1188/1423,FALSE
40/1188/1377,FALSE
40/1188/1405,FALSE
40/1188/1424,FALSE
40/1196/979,FALSE
40/1201/746,FALSE
40/1201/743,FALSE
40/1189/960,FALSE
40/1201/748,FALSE
40/1189/953,FALSE
40/1196/787,FALSE
40/1189/971,FALSE
40/1201/768,FALSE
40/1188/1231,FALSE
40/1196/795,FALSE
40/1188/1213,FALSE
40/1196/797,FALSE
40/1196/822,FALSE
40/1196/826,FALSE
40/1196/827,FALSE
40/1196/833,FALSE
40/1196/801,FALSE
40/1200/658,FALSE
40/1190/1686,FALSE
40/1190/1688,FALSE
40/1190/1706,FALSE
40/1186/1747,FALSE
40/1188/1210,FALSE
40/1188/1211,FALSE
40/1196/805,FALSE
40/1190/1695,FALSE
40/1188/1204,FALSE
40/1190/1696,FALSE
40/1200/727,FALSE
40/1200/715,FALSE
40/1190/1731,FALSE
40/1196/847,FALSE
40/1188/1246,FALSE
40/1188/1251,FALSE
40/1190/1714,FALSE
40/1200/697,FALSE
40/1201/782,FALSE
40/1201/783,FALSE
40/1196/857,FALSE
40/1200/707,FALSE
40/1186/1754,FALSE
40/1190/1739,FALSE
40/1200/670,FALSE
40/1200/725,FALSE
40/1188/1256,FALSE
40/1196/910,FALSE
40/1190/1753,FALSE
40/1200/744,FALSE
40/1196/896,FALSE
40/1196/897,FALSE
40/1196/898,FALSE
40/1208/1745,FALSE
40/1200/751,FALSE
40/1188/1258,FALSE
40/1190/1764,FALSE
40/1196/934,FALSE
40/1201/786,FALSE
40/1189/988,FALSE
40/1196/936,FALSE
40/1196/925,FALSE
40/1189/1004,FALSE
40/1196/940,FALSE
40/1196/929,FALSE
40/1196/930,FALSE
40/1189/1009,FALSE
40/1210/975,FALSE
40/1215/1145,FALSE
40/1208/1741,FALSE
40/1189/1011,FALSE
40/1200/783,FALSE
40/1188/1269,FALSE
40/1200/786,FALSE
40/1187/1736,FALSE
40/1188/1296,FALSE
40/1196/909,FALSE
40/1190/1752,FALSE
40/1190/1781,FALSE
40/1188/1326,FALSE
40/1187/1738,FALSE
40/1208/1756,FALSE
40/1189/1000,FALSE
40/1200/794,FALSE
40/1189/1013,FALSE
40/1188/1324,FALSE
40/1210/995,FALSE
40/1210/998,FALSE
40/1196/952,FALSE
40/1208/1761,FALSE
40/1188/1351,FALSE
40/1188/1319,FALSE
40/1190/1802,FALSE
40/1215/1182,FALSE
40/1201/795,FALSE
40/1188/1343,FALSE
40/1200/818,FALSE
40/1200/820,FALSE
40/1215/1199,FALSE
40/1215/1200,FALSE
40/1190/1814,FALSE
40/1188/1404,FALSE
40/1188/1394,FALSE
40/1190/1807,FALSE
40/1190/1819,FALSE
40/1196/976,FALSE
40/1200/829,FALSE
40/1188/1396,FALSE
40/1188/1383,FALSE
40/1188/1373,FALSE
40/1210/1018,FALSE
40/1210/1022,FALSE
40/1201/809,FALSE
40/1208/1778,FALSE
40/1189/977,FALSE
